Minisector,RUS,ANT,Fastest
0,289.0042733757087,287.8455873990885,RUS
1,308.55310455151084,307.59873129382134,RUS
2,309.3297828730435,310.6903179100621,ANT
3,202.6927814640645,199.38028718549924,RUS
4,236.75151752998306,234.02679595187004,RUS
5,224.62053386035262,222.34568332115458,RUS
6,207.04567057109364,203.20723686549536,RUS
7,229.9788643759674,232.36233810536262,ANT
8,266.8775088556329,271.09511154925076,ANT
9,277.3432524637681,275.9234967054545,RUS
10,172.7854381363861,178.19076303945798,ANT
11,239.45892327147587,241.5016747276595,ANT
12,111.1641201586759,112.94473279145191,ANT
13,224.62052997594938,227.9776176942139,ANT
14,279.92092941966143,279.49020273833025,RUS
15,295.6879933509642,293.24870765327285,RUS
16,218.2679500574752,215.23328696887856,RUS
17,182.9126704360958,194.3142190247829,ANT
18,268.2200490143271,271.0258852369801,ANT
19,294.6961577280412,296.01374966857145,ANT
20,307.43526917160176,307.70140678377936,ANT
21,307.20164571199996,305.7652679379592,RUS
22,272.16582748018783,268.70396020132637,RUS
23,118.79888112152891,122.52135786930641,ANT
24,247.20795238905885,249.27841791085714,ANT
