Minisector,BOT,SAI,Fastest
0,276.9809084471609,276.9403792970472,BOT
1,296.8944444888889,300.31076386666666,SAI
2,292.6165397921453,295.89553530828715,SAI
3,187.89973813583356,175.81112954240427,BOT
4,119.86469431585638,113.84807860394929,BOT
5,235.49785051499492,234.31559084731182,BOT
6,282.9558244577383,289.08683296426665,SAI
7,290.34775565128206,301.2431671466667,SAI
8,179.14481528093376,175.06014397483025,BOT
9,139.09953197345445,138.8310243982274,BOT
10,250.39864573548658,249.73045936551725,BOT
11,287.9993335954286,290.5079259707593,SAI
12,298.26495300334864,303.36922148571426,SAI
13,278.38408875018314,281.070476135619,SAI
14,294.43725165640103,300.5850096555176,SAI
15,292.3334994773333,300.7244547936508,SAI
16,250.07106082294055,241.19715435651062,BOT
17,220.89962191515153,221.7089838,SAI
18,275.8942934421899,280.98706665605465,SAI
19,298.8330002773333,308.9432041714286,SAI
20,298.1639562180665,312.65172074314955,SAI
21,232.19648359386397,222.79781758614718,BOT
22,256.9784399521658,255.92591562110186,BOT
23,138.86783164096352,130.92743223050996,BOT
24,212.29737035373404,212.4827666778392,SAI
25,257.0500032,,BOT
