Minisector,VET,MAG,Fastest
0,292.2644673185185,281.9173811657143,VET
1,302.7927082666667,290.57382574298776,VET
2,307.38562868025286,293.38445382633057,VET
3,307.16911861960784,292.2379902117647,VET
4,180.43396263704392,179.5689500743776,VET
5,216.86484958487267,214.89254669648034,VET
6,248.39611639727892,246.183875168,VET
7,272.4896330400687,265.7535715689223,VET
8,274.1178235259259,265.2649129543859,VET
9,164.77252772203036,169.17517504435398,MAG
10,233.61390582164503,231.64124284081632,VET
11,138.22061004176186,139.27182407162925,MAG
12,222.34891117184267,222.2769317106188,VET
13,194.46184639774623,200.30401189135804,MAG
14,220.14499363463202,218.26936428148238,VET
15,254.27416656,252.58806540190477,VET
16,266.6801958907518,262.76568235216814,VET
17,289.6486110222222,279.97661997037034,VET
18,133.64462734035087,134.28451292571364,MAG
19,166.15169851770742,162.92755257019968,VET
20,148.01596611316526,147.28326776708334,VET
21,168.79347182222222,173.24805451047203,MAG
22,120.70187320369871,117.53551697777777,VET
23,231.5498807667186,218.90687417850668,VET
24,274.1346804130326,263.8803830763648,VET
25,,276.15,MAG
