Minisector,LEC,RUS,Fastest
0,290.48054608911116,293.25854158933333,RUS
1,299.8024726189569,305.2180201231614,RUS
2,297.33171841664563,309.18402880802006,RUS
3,185.77186530000267,186.92295432344125,RUS
4,208.70338687512765,210.27849195936508,RUS
5,204.14827123189121,206.59298290796255,RUS
6,264.1331845638095,264.9310512971705,RUS
7,263.6907192367847,260.1274683841833,LEC
8,216.9128623056555,216.94938540259741,RUS
9,212.96102454567597,210.66698212633202,LEC
10,141.430639933722,137.47047175059296,LEC
11,199.09319659532466,204.21833355419815,RUS
12,192.58900524614032,185.421186590823,LEC
13,254.0196806373394,254.81558725587303,RUS
14,180.60212389879763,180.63793950517373,RUS
15,234.74798105846153,235.31232667550478,RUS
16,278.2377867154051,281.90940238477293,RUS
17,289.69955029671956,292.1419586213152,RUS
18,285.5642610241441,284.89121173399224,LEC
19,276.4688979420451,267.4597224622222,LEC
20,269.3064341862434,266.3746565643699,LEC
21,266.9167590282244,260.24735051993076,LEC
22,246.22720590489334,249.91032955897842,RUS
23,209.59375618306964,208.7605987525199,LEC
24,267.93481297850343,270.9240434204575,RUS
