Minisector,RUS,TSU,Fastest
0,242.6475984644217,245.72491696294267,TSU
1,271.7682535908358,276.6746480207694,TSU
2,177.92496771008368,163.57283867493146,RUS
3,155.67872092500716,152.96471264573876,RUS
4,257.74821438802724,256.04534754812335,RUS
5,268.8202632489337,254.18326427301588,RUS
6,228.71498244962962,202.8163014624257,RUS
7,208.50378542787016,191.28472481558398,RUS
8,160.5913149664378,149.35771196202668,RUS
9,216.75209178461057,206.75499381321225,RUS
10,272.2511966672811,268.3812473995307,RUS
11,123.49083062431235,118.62957272023577,RUS
12,210.6568851446276,213.5631246176344,TSU
13,269.38707160076194,277.04687468444445,TSU
14,290.03635443232326,305.7028162679948,TSU
15,298.44880952380953,320.3598054968889,TSU
16,234.68680165577533,237.69736211836735,TSU
17,135.23197349089162,123.58313655915882,RUS
18,137.5732823925665,128.28872555031185,RUS
19,123.25788465162792,122.88285056667677,RUS
20,228.06253851076923,224.99958961427848,RUS
21,258.31163120765217,248.68680403618302,RUS
22,233.1879609094083,220.25678837522904,RUS
23,216.679427022281,200.0401109056277,RUS
24,138.56619190932403,134.56388140706147,RUS
25,210.20000426666667,,RUS
