Minisector,PER,ALO,Fastest
0,283.4921674479214,293.6317923641311,ALO
1,147.6112854934123,151.59169416278402,ALO
2,146.8052909965715,136.68888303955893,PER
3,223.58373688474202,221.0967577232784,PER
4,283.71843692022264,285.23380000000003,ALO
5,287.86921784470275,280.49583561571717,PER
6,142.22419462419552,136.58275762045926,PER
7,145.9897813969263,136.72686591026837,PER
8,142.87998976372924,134.2545669593659,PER
9,192.60207945231934,186.60068556046778,PER
10,131.82279371833656,129.50724233748613,PER
11,122.5261919797154,115.95556073413219,PER
12,161.47830278744289,163.39624657833014,ALO
13,266.13372042045586,266.6954664695886,ALO
14,290.9722796143251,288.7504589603865,PER
15,152.68803513729424,143.33258551360785,PER
16,204.13276553642908,201.1759977631818,PER
17,174.53605642820858,171.6506014151258,PER
18,271.09236497212584,272.47524829868024,ALO
19,294.1481150793651,298.52264177922905,ALO
20,309.9063708043625,313.35819972173914,ALO
21,316.92801599061244,321.7003222242275,ALO
22,320.55095030643275,324.6630050666667,ALO
23,323.19760418666664,326.8129167030303,ALO
24,320.64180672268907,321.4097886762361,ALO
25,316.02999936,,PER
