Minisector,RIC,PER,Fastest
0,318.83753837754847,322.326756167619,PER
1,326.5250000197531,330.58312512000003,PER
2,321.6641516356525,326.76537699894175,PER
3,174.32260051685972,171.35263482316603,RIC
4,136.1162229164021,137.75242405774853,PER
5,268.8394498230008,269.6009054144928,PER
6,300.0150977800866,301.69079090709454,PER
7,307.6202082666667,316.60895818666665,PER
8,255.54525966984127,258.34205132518395,PER
9,155.80365021676747,150.7036899504762,RIC
10,224.42520517530863,221.16142194098458,RIC
11,231.2819008488692,222.49409044430658,RIC
12,206.31245853904056,198.87663168786483,RIC
13,274.5081525797101,273.55698600043826,RIC
14,306.65804756087033,307.9735774251629,PER
15,315.07312496,318.90833333333336,PER
16,254.5972655712956,255.95300168533333,PER
17,215.3016709924757,208.9005591580898,RIC
18,277.5600112138528,274.70721853385004,RIC
19,307.78396305189756,309.7871723657143,PER
20,316.09642858345865,322.53211878190274,PER
21,297.8257955555556,303.71781357333333,PER
22,213.8611907214319,210.29696153844264,RIC
23,268.7302126836959,268.45789974025973,RIC
24,303.3657879147392,305.58906901471863,PER
