Minisector,RAI,PER,Fastest
0,228.6174742210954,232.04827502601452,PER
1,281.08186267375504,281.72839462716047,PER
2,297.11371526349205,296.4624494365609,RAI
3,302.8531768858674,303.2883282020704,PER
4,265.1508816818342,267.9776315269704,PER
5,158.04119708053813,165.78581864624633,PER
6,255.87379549316913,261.25928103844797,PER
7,275.02638885925927,277.5118947559242,PER
8,201.16930926312259,203.9917136036063,PER
9,214.17951501546338,215.55530539916697,PER
10,174.00593577846627,169.57189965891473,RAI
11,216.54081854147498,224.05277750789506,PER
12,197.30187378284458,192.88384310307694,RAI
13,204.47999862857145,199.79269266031747,RAI
14,217.8505420711789,207.97651934603053,RAI
15,174.7735951283759,172.44997067829215,RAI
16,241.44283578231293,246.60100498390807,PER
17,282.98193478187864,284.24975801655785,PER
18,297.475666688,299.096310862793,PER
19,292.53696549104046,282.8708026173337,RAI
20,126.77294740790092,129.41838146937533,PER
21,153.49714882942456,158.8875691965808,PER
22,143.58859150230822,152.8081231967664,PER
23,199.91410691958689,204.85035821714285,PER
24,140.7609478652954,147.41799191390817,PER
