Minisector,VER,PER,Fastest
0,290.9370106352941,295.64313725490194,PER
1,293.4323521882353,302.29222293333333,PER
2,173.87870222615294,164.7033048275862,VER
3,228.36622220190475,225.15619273623096,VER
4,275.38406958431375,279.8638603086421,PER
5,294.12924655746036,300.4488888888889,PER
6,297.66582612436974,308.2997396,PER
7,169.09627478095237,167.3038710138476,VER
8,137.60838973185201,135.02344474177977,VER
9,251.01984292063491,254.57870370370372,PER
10,282.87447550028014,288.2716144666667,PER
11,288.5775490342071,296.1440104,PER
12,151.7225776344086,142.02291639215687,VER
13,202.45540715636525,200.2396637630138,VER
14,258.0888894222222,262.7074074074074,PER
15,206.40964882696423,190.67093115051844,VER
16,223.4722409974026,218.6668648126984,VER
17,212.13868952380952,208.43068218181818,VER
18,247.2580921641166,241.4213616629283,VER
19,277.3397065411765,278.4390871534391,PER
20,289.93538199347773,292.7888020666667,PER
21,255.77148088742499,245.743934114936,VER
22,230.18624896,209.38623248695652,VER
23,213.62438878874698,204.2076310217996,VER
24,267.7407149405647,269.3463231372549,PER
