Minisector,ALO,STR,Fastest
0,293.5243058984127,310.8460456293218,STR
1,245.80044673094017,222.79087236232735,ALO
2,194.3479512859896,187.0139363145348,ALO
3,261.8579172644571,261.58880981308226,ALO
4,223.65475166440487,209.8716065511111,ALO
5,111.73309334345667,105.5834032694867,ALO
6,168.44020283426798,162.34470596424023,ALO
7,252.74353917554382,255.06695956649847,STR
8,286.1187153267864,290.6402991033155,STR
9,301.3523717183626,317.93043917837576,STR
10,306.55833281038963,325.5746678821832,STR
11,237.2266005846154,201.57897976986885,ALO
12,139.25190063358923,135.52634326415986,ALO
13,253.11547830902433,252.7523139557576,ALO
14,287.127289140959,290.6067624066721,STR
15,297.32407106762867,302.61332649008347,STR
16,288.0565949087076,301.06621380869564,STR
17,255.9038341924579,249.36781724807426,ALO
18,177.46232472323052,172.02736692804777,ALO
19,177.52645411341797,167.39527463577863,ALO
20,180.1758609993645,187.55620923290044,STR
21,240.44318165876277,240.43936154402437,ALO
22,115.71090853891603,112.05062003072752,ALO
23,190.30922163645477,201.79250509852815,STR
24,272.1174713701903,275.52516609931735,STR
25,285.8125008,290.20909265454543,STR
