Minisector,LEC,STR,Fastest
0,290.30450519443224,286.6217694887613,LEC
1,303.26075438209944,299.0918190315671,LEC
2,308.0210689015873,304.91263366843776,LEC
3,309.56250011428574,305.42395824761905,LEC
4,194.24830949155273,180.75934898479534,LEC
5,214.5070960153375,210.37634734111066,LEC
6,267.0121478673106,261.78159973103914,LEC
7,269.5111420266667,261.11364202401654,LEC
8,190.9525596656171,178.29042623510875,LEC
9,157.21751970170655,144.7513661952801,LEC
10,187.23513037453745,176.28791112749906,LEC
11,257.5514678200963,256.5426976809782,LEC
12,251.2010422636774,237.80754214139276,LEC
13,233.70551380897962,222.4554060567361,LEC
14,273.61814990334756,263.2008943437146,LEC
15,174.87139272507235,167.92902196805846,LEC
16,220.0316489328363,214.75288861209594,LEC
17,245.10336942452014,242.50999084387576,LEC
18,137.5647426200916,126.85160253750334,LEC
19,237.8271492608432,233.1411371256917,LEC
20,273.8413339697479,274.36979160969696,STR
21,247.6112339014493,239.8971971200058,LEC
22,142.81113237324394,134.34334169257187,LEC
23,212.9879819468697,200.02121783762195,LEC
24,268.9675871059879,264.47745525388865,LEC
25,,279.0125002666667,STR
