Minisector,SAI,RUS,Fastest
0,292.87462777610125,277.6647278830702,SAI
1,139.80702419961267,146.70535383519282,RUS
2,217.6428959830291,215.4423777685108,SAI
3,281.68722959481687,282.9219366483522,RUS
4,309.6629553037242,311.4148555766676,RUS
5,304.4967985893128,293.5574161924633,SAI
6,154.01356436351958,151.5525163239762,SAI
7,241.4901950639344,249.48643082181394,RUS
8,110.55167682543741,113.42099419087226,RUS
9,165.1285460854329,159.97185943109173,SAI
10,277.40061939420195,274.9262640933771,SAI
11,297.97526623749366,296.04959454942957,SAI
12,221.3067170569412,204.29063355178351,SAI
13,166.39978096873043,163.2013336139055,SAI
14,276.9975672420616,270.8794916243565,SAI
15,310.70718767140556,313.0684573126192,RUS
16,323.95118545305485,324.273250112,RUS
17,332.16750653391136,334.0323582898549,RUS
18,335.6706124621619,332.13805068761906,SAI
19,332.1239930057143,327.8023810031746,SAI
20,202.6747427501579,193.55760200926872,SAI
21,167.17797226405062,166.01663121780697,SAI
22,276.06255897791493,278.4928637403347,RUS
23,310.74393745985384,315.39636194106146,RUS
24,320.4208227396894,322.46812692264933,RUS
