Minisector,BOT,HUL,Fastest
0,256.481769,250.16516877366743,BOT
1,296.40175939229124,283.17166682666664,BOT
2,171.2435415292517,164.33270789526512,BOT
3,163.7084350626114,166.27378647009428,HUL
4,258.6760820107418,253.936418008658,BOT
5,273.78484970596315,265.40978188535564,BOT
6,237.6211324888889,226.7709622645722,BOT
7,207.9268261595041,200.25952724648485,BOT
8,159.50970758714712,160.6996915791405,HUL
9,217.03105591794872,223.3178543311477,HUL
10,273.49385971618165,268.370319369697,BOT
11,128.158428178751,126.83230446881892,BOT
12,217.76254759033176,213.25325104627055,BOT
13,278.55001499829916,275.2535121142857,BOT
14,301.21747205445655,294.66845252063496,BOT
15,310.7990738962963,301.7676366750268,BOT
16,242.14310117244514,235.13390969604163,BOT
17,128.2381209109731,129.82080401807244,HUL
18,129.70193928965548,129.99096097541764,HUL
19,117.45668926700671,119.87408848357629,HUL
20,229.716722176,219.56142012839504,BOT
21,254.95727704962718,251.14254210037458,BOT
22,235.99316714666668,230.51480481206028,BOT
23,215.51879059878047,216.26109369607676,HUL
24,137.73660529664656,136.44782955588568,BOT
25,,216.12437974109605,HUL
