Minisector,RIC,BOT,Fastest
0,297.68928604444443,297.0748188289855,RIC
1,245.5040835835883,252.0379326978751,BOT
2,201.7403957858785,197.75781442457756,RIC
3,264.71224907955815,266.3705698751781,BOT
4,237.48970175661375,233.07440533333332,RIC
5,118.80790112620134,122.81702406967906,BOT
6,178.52998909821372,180.23884664685716,BOT
7,257.2405807938511,258.1358692173913,BOT
8,288.29695540394687,294.35939795068316,BOT
9,301.75758959999996,309.8762500266667,BOT
10,305.51508932571426,313.9480342176031,BOT
11,230.4279406062395,246.49246793846154,BOT
12,149.27943225508412,143.32279822549052,RIC
13,254.6975939378882,257.83937712942185,BOT
14,287.82353436848194,295.5820394909678,BOT
15,298.07247090880253,306.9775,BOT
16,291.7293651301587,301.26749989333337,BOT
17,256.139696987401,270.24791666666664,BOT
18,183.21212109090908,183.14308529911153,RIC
19,185.89420258539445,199.9509257571266,BOT
20,174.05398527603663,173.69047438358734,RIC
21,244.79094974554334,250.40529772457717,BOT
22,127.88199102122677,130.67441159376762,BOT
23,192.45448845247313,187.5924306172414,RIC
24,275.5666910920635,276.1378625391304,BOT
25,,295.32500053333337,BOT
