Minisector,LEC,GIO,Fastest
0,293.46815446580086,293.7596588121212,GIO
1,304.45395824,305.91636737288115,GIO
2,310.7016273897455,311.38201784475405,GIO
3,311.02623009211095,310.52604181333334,LEC
4,199.73722853382068,192.43099298336307,LEC
5,225.0482318957585,222.13951834013605,LEC
6,267.58667549944727,269.9387092375734,GIO
7,269.84130527536234,269.712014178355,LEC
8,195.22569157603687,192.40791556759913,LEC
9,157.06041738269312,158.18176385425204,GIO
10,186.26034029636548,185.54335093485886,LEC
11,259.16269800686007,261.10555502222223,GIO
12,251.2094295777867,253.6672402145454,GIO
13,234.82851144684952,226.89644969876542,LEC
14,269.2630119694725,274.2139677752828,GIO
15,176.4360383282361,172.55071472050477,LEC
16,221.59819340915237,222.26846838193353,GIO
17,244.6217009345175,248.88691436597014,GIO
18,140.877942324226,136.14314084050537,LEC
19,242.81956120229592,240.8263994652552,LEC
20,278.205668738322,278.8265870730159,GIO
21,259.0586576952381,261.52351576974803,GIO
22,147.4065088102733,143.10466979624857,LEC
23,215.91218975310628,207.84088531359518,LEC
24,272.6280300121212,271.43159270582925,LEC
25,,285.7874986666667,GIO
