Minisector,PER,HAM,Fastest
0,284.8371156675571,290.7676129714157,HAM
1,137.11258716610192,142.71307690720099,HAM
2,212.6865898237825,212.16336786254396,PER
3,285.7144837141395,269.2041418283288,PER
4,321.4968166587251,314.421515453795,PER
5,312.78533834586466,314.01243290722476,HAM
6,151.94544101113453,147.99522951719015,PER
7,241.51024802515366,250.96764236832865,HAM
8,108.8171748578989,117.47354532286313,HAM
9,168.20331944755338,152.45517765461022,PER
10,275.5488838537724,274.6148404679261,PER
11,299.36444979320623,300.29235409732286,HAM
12,220.28418823892025,251.91193021761407,HAM
13,175.34269283016414,150.8104063242173,PER
14,277.56845453970584,269.6536710281987,PER
15,309.29317222215155,309.4372102232356,HAM
16,322.97134379824706,324.83714905190817,HAM
17,331.81277454984763,334.64462474666664,HAM
18,343.3265538269355,339.00385554285714,PER
19,348.28528313687076,333.80459237232054,PER
20,189.56850902996877,232.52926799868638,HAM
21,174.54036497150142,151.12562251706797,PER
22,274.89285628673366,273.49361277242747,PER
23,308.5692319652878,310.4836229392439,HAM
24,320.9127739984883,324.00441769651894,HAM
25,319.0,320.7644111722916,HAM
