Minisector,ALO,TSU,Fastest
0,275.75056561834214,275.5472779677668,ALO
1,298.0542425409862,296.3825065917536,ALO
2,294.7155440291536,294.57054467128427,ALO
3,167.4991729728323,181.2516888821003,TSU
4,123.23574034634242,123.30172963482458,TSU
5,234.70097788448513,237.98164889665182,TSU
6,280.34601787215007,279.31382144843474,ALO
7,292.5747436538068,293.04329859555554,TSU
8,182.60715887527783,183.55976034792437,TSU
9,146.51173631596356,144.7476182177872,ALO
10,252.103316760409,249.9219491762425,ALO
11,288.9411858714148,287.0208282866619,ALO
12,298.01572663258145,295.69010735091075,ALO
13,287.20756808951353,276.02708436845717,ALO
14,297.02449106866214,293.08517379313923,ALO
15,299.2367618255792,293.5316790109091,ALO
16,258.18388973184267,254.68820067578645,ALO
17,232.3294554871264,232.87337653778394,TSU
18,276.46062456,276.2443920609437,ALO
19,296.8170948125018,296.8061537642069,ALO
20,297.2403727893333,297.4031286494681,TSU
21,242.9370434469904,234.97421246690115,ALO
22,262.1412452667372,258.2035816826451,ALO
23,142.7179272923725,146.0423867592528,TSU
24,215.54883924825396,213.92193590113024,ALO
25,257.51666773333335,255.968752,ALO
