Minisector,SAI,RAI,Fastest
0,270.69985987465424,275.31552145651483,RAI
1,290.5658964526611,298.27236828070176,RAI
2,298.8521382163261,306.48915673162696,RAI
3,123.2010467658935,126.53954240171126,RAI
4,191.57715745185183,194.60536993068646,RAI
5,254.5928678235818,258.2711177287982,RAI
6,139.1792252936531,137.75555003895445,SAI
7,202.77408240437936,198.98857498021977,SAI
8,257.1785705650794,257.4139570294161,RAI
9,278.85581157427913,284.3891666133333,RAI
10,231.83392788210537,220.80024697071212,SAI
11,177.70378636413727,178.91923159661923,RAI
12,191.97534571168066,190.27050828695258,SAI
13,147.26549301445584,146.93256082705594,SAI
14,175.98634830131368,175.56156206344693,SAI
15,162.78287560258667,159.85292389467787,SAI
16,216.28885426481452,214.43124787427357,SAI
17,230.4461092789843,232.0012431900621,RAI
18,236.87563681135626,230.18922875095484,SAI
19,239.5113662060606,241.21938508985508,RAI
20,139.16747385530928,139.59611748955564,RAI
21,133.54093156078056,131.95393506713123,SAI
22,171.67499896888887,172.71861222077646,RAI
23,146.55897464456476,145.3762530894097,SAI
24,229.03100030476193,230.9911938538022,RAI
