Minisector,BOT,GAS,Fastest
0,288.13192754157564,288.6014227677019,GAS
1,304.07687498666667,307.3288093942857,GAS
2,299.73269465874426,301.42936604444446,GAS
3,191.88316115669244,180.23294614701823,BOT
4,229.63937714871795,213.75603393891626,BOT
5,214.97499328779276,195.670504321427,BOT
6,199.2441629984639,184.07308077440518,BOT
7,224.23439076751444,202.79601116444442,BOT
8,257.8135166984127,251.64628222797185,BOT
9,261.7654235986127,258.9489396869565,BOT
10,183.11416100707632,175.08880313410555,BOT
11,244.89167801555072,238.53788435700622,BOT
12,123.11551981601697,120.16861821421824,BOT
13,230.83262873191913,220.8565635923948,BOT
14,271.0852182663038,272.30007745590063,GAS
15,278.9130435060869,281.3391829898517,GAS
16,216.15018019074668,210.31431957865655,BOT
17,200.37307044632618,179.42772475942982,BOT
18,273.4976095688989,266.4131201206349,BOT
19,294.8672889004329,293.06124992,BOT
20,304.69949403428575,305.9676871111111,GAS
21,304.01270837333334,306.2396825396825,GAS
22,251.63309525942856,276.4402854233766,GAS
23,122.74989307123809,115.84141833771726,BOT
24,248.83412266201094,234.4255189098901,BOT
25,275.90000274285717,273.04166613333336,BOT
