Minisector,VET,ERI,Fastest
0,259.6154458542846,250.33742716034314,VET
1,300.72642291127465,283.2241666666667,VET
2,174.853126849929,170.1101319727715,VET
3,166.5656295765518,161.74160052910054,VET
4,259.4480357942857,255.01754067623688,VET
5,268.5890937792245,268.7564935064935,ERI
6,224.38237206153846,228.96414246311554,ERI
7,199.0574409322571,202.00733894213369,ERI
8,158.5844106213642,161.39572012972974,ERI
9,222.4589178062861,211.01570900395114,VET
10,275.2999374275689,268.98007411519274,VET
11,134.39182191635612,130.5492415726171,VET
12,221.7773829121398,211.7845681382716,VET
13,282.3942461968254,271.9657871896286,VET
14,304.3893546799019,293.21446438095234,VET
15,310.57523176296297,300.6710528,VET
16,241.8866660266667,226.23360112242045,VET
17,130.82265250294665,130.54076452140794,VET
18,133.4126704253968,130.32534907175017,VET
19,121.83685040329426,119.45707792574547,VET
20,224.7307623862857,225.3231142909049,ERI
21,250.37770597543772,255.93990999313263,ERI
22,236.61718778514285,232.24711343589746,VET
23,219.79124951583495,205.54499038281295,VET
24,134.4963148580139,133.90625758050942,VET
25,221.93333333333334,219.15625066666666,VET
