Minisector,SAI,ALO,Fastest
0,292.4854681406555,291.4296368903511,SAI
1,156.07865934371915,173.54738018050952,ALO
2,179.25462526715899,172.10693729087865,SAI
3,257.1591242584049,252.64285659235074,SAI
4,287.0842277052632,286.36876336379015,SAI
5,252.29723166548152,250.7710891140691,SAI
6,226.7543797019798,220.6341823209524,SAI
7,149.9991048859801,148.99859322273687,SAI
8,220.18668058656277,219.10005739426896,SAI
9,279.46787688178756,278.8063127455123,SAI
10,297.7864659841604,298.61332166359153,ALO
11,307.3096404301365,308.130069391746,ALO
12,312.4179839759398,312.33854626807016,SAI
13,313.09561460932326,310.1262501001482,SAI
14,127.40850321933986,129.92234568688917,ALO
15,118.06449772357384,115.40103785441116,SAI
16,103.74511418235988,98.04436863784959,SAI
17,233.3310006137566,230.83980901277982,SAI
18,287.79497230829105,286.10716015289125,SAI
19,307.34609014320864,307.051120409697,SAI
20,318.03751912891323,317.98087552293356,SAI
21,322.20540366666665,318.8978376028144,SAI
22,122.05766529574795,128.25600925197722,ALO
23,202.30835322567742,193.8924882031746,SAI
24,270.436630849895,267.20834817217536,SAI
25,,284.0236113777778,ALO
