Minisector,NOR,RAI,Fastest
0,306.19340736317866,310.4549879630871,RAI
1,321.2145832888889,329.70736184597007,RAI
2,283.29252432409737,304.6218877633773,RAI
3,111.47410025025441,110.55295672080038,NOR
4,231.45319762690312,224.48810461851264,NOR
5,284.8086651111286,272.3475521900734,NOR
6,216.611907339265,222.2038208352388,RAI
7,163.01407700890243,160.3878339630181,NOR
8,197.1101504530656,195.28693775394012,NOR
9,203.05070408509556,211.00862773475694,RAI
10,112.77532986812092,114.1179434608263,RAI
11,227.0853207677834,225.45100820413725,NOR
12,116.78987858114307,115.45698307360308,NOR
13,222.95171342640882,225.42360932946045,RAI
14,271.70205995728503,283.42205704781276,RAI
15,209.29740486456404,211.69599430762116,RAI
16,199.4201291785929,189.19028727856463,NOR
17,250.6053139062642,253.46596981647252,RAI
18,197.49212810337156,204.61663291549394,RAI
19,181.71264695390065,177.13981110019927,NOR
20,267.5197389424764,269.1082526265934,RAI
21,294.6965219425321,294.48473333418576,NOR
22,158.80436458590478,161.43530127267613,RAI
23,210.2098703763227,205.11065226908576,NOR
24,270.2586203106594,278.08749105679897,RAI
25,284.1333333333333,296.56666666666666,RAI
