Minisector,RUS,TSU,Fastest
0,290.06673802423495,289.7060003337143,RUS
1,302.14850450486983,300.1535234900585,RUS
2,309.67848058612793,306.5166665955556,RUS
3,308.01317141421345,309.6464223472278,TSU
4,189.38926089116157,191.2885866458413,TSU
5,222.95415666296253,217.5772486725544,RUS
6,269.61781620451126,266.5046594448254,RUS
7,258.7135641324899,254.7996213708309,RUS
8,192.3140740623507,191.6088775471921,RUS
9,143.09368937650794,145.32778963593537,TSU
10,182.7507565143209,180.97050840067735,RUS
11,263.06102940082053,264.0389545597929,TSU
12,243.74218092066158,244.85393395824917,TSU
13,226.55684637866668,226.62594769416899,TSU
14,273.0238004730545,264.8090810845781,RUS
15,166.68104264349208,167.7228582193696,TSU
16,219.82774966439698,231.5887634727619,TSU
17,244.4981677606349,240.85168461056824,RUS
18,132.40202899696388,130.70297545812065,RUS
19,244.96801034387244,244.4447810996529,RUS
20,286.0009146883919,284.7784135923809,RUS
21,249.56500928831167,241.1513419522244,RUS
22,140.94302829264834,138.52724972364507,RUS
23,216.8495473634142,211.8088944794903,RUS
24,273.7702909016191,268.6996483857571,RUS
25,286.0590917818182,,RUS
