Minisector,RUS,PIA,Fastest
0,280.805429782374,276.89220436544156,RUS
1,299.0416349046349,295.0629951074517,RUS
2,224.26101247633557,218.819293019166,RUS
3,108.35117215713412,109.03583936064723,PIA
4,126.18606158433312,130.42160218416285,PIA
5,246.352872415735,246.2080464662904,RUS
6,255.28889900724582,237.3489439802356,RUS
7,117.85726652152728,117.45362746412137,RUS
8,241.99341818181819,242.75066045186816,PIA
9,258.07388026470704,241.8452081511111,RUS
10,200.51996706666665,196.26277817498413,RUS
11,138.27538060257294,135.4953999301399,RUS
12,197.70776074891765,203.24178180249183,PIA
13,261.27192057809265,254.88846247442038,RUS
14,106.76583912752423,107.4729519786514,PIA
15,180.64849723345264,188.9176682705908,PIA
16,252.88783290403572,254.2623666012207,PIA
17,289.4677573291402,290.5589278127225,PIA
18,306.9525832933333,309.3035587761404,PIA
19,321.64702751578466,324.5948036792381,PIA
20,329.62451841069736,328.97338699979645,RUS
21,151.8394101997926,153.8553729414118,PIA
22,135.44647509808323,136.62835805616518,PIA
23,183.43803776756596,197.5638467925724,PIA
24,233.90960672,231.86283970687887,RUS
25,,262.64062559999996,PIA
