Minisector,PER,SAI,Fastest
0,272.16577379047624,271.234992547297,PER
1,249.0766076815423,243.74358052867726,PER
2,114.55284815773211,111.36754359276395,PER
3,170.83115102862365,165.841985205154,PER
4,183.0159123061074,176.29425184063408,PER
5,212.97462854461529,208.7504855293773,PER
6,269.2895010552281,266.81484094342846,PER
7,286.5388095238095,286.1321148795239,PER
8,202.03090955199283,195.3691227603669,PER
9,131.78019449103044,127.44901676901205,PER
10,126.83557233671195,128.22181956056417,SAI
11,178.96912227509378,185.76888506160805,SAI
12,230.39400851339332,225.77610690953557,PER
13,130.2940756926425,128.21490266056963,PER
14,152.60829391765083,150.89740916000736,PER
15,114.03084531437449,117.13021981441817,SAI
16,242.00183151799783,246.58118031072465,SAI
17,150.29706780241045,147.7849429079277,PER
18,188.63354438117446,190.04091089824763,SAI
19,126.5587344481744,121.41806940689712,PER
20,119.70918160819639,130.65417157633334,SAI
21,120.16203431658876,117.28489814132283,PER
22,135.7171240664836,133.89065107445094,PER
23,217.33048562398875,223.39657257396826,SAI
24,234.25151454528444,230.96959345262852,PER
25,,257.6812512,SAI
