Minisector,PIA,OCO,Fastest
0,274.8436364509091,304.9174046997865,OCO
1,309.732776768,310.555923187671,OCO
2,288.17851151809526,297.0948320841723,OCO
3,169.66959391727215,171.25506226608925,OCO
4,218.96967490324784,208.5523297008338,PIA
5,194.9232107008547,190.6494801786337,PIA
6,180.2233568824117,173.08308231964,PIA
7,213.05157837575757,199.6576332184003,PIA
8,253.0242347755102,250.7868491520232,PIA
9,244.88059532867726,250.41151303332825,OCO
10,177.4831440406668,169.73622285979226,PIA
11,237.47967945922275,227.75417387839,PIA
12,119.11126843001789,125.05904682845554,OCO
13,243.31871541241367,229.97115680157637,PIA
14,274.6749378220408,277.04640544746985,OCO
15,270.3792620948088,275.97339299047616,OCO
16,204.59516821177675,207.59518812761905,OCO
17,193.38278324356006,178.84062591661376,PIA
18,288.5275205250153,280.82362286506134,PIA
19,315.92839277714285,324.1015383170168,OCO
20,310.9653769396825,335.1685347875556,OCO
21,291.67201738018633,312.6973304656689,OCO
22,255.66380598814814,278.101800740594,OCO
23,124.59802995734826,119.68310836328409,PIA
24,245.49864364062495,231.7573271724021,PIA
25,,282.19097173333336,OCO
