Minisector,NOR,SAI,Fastest
0,296.0907203552655,289.37292227004644,NOR
1,302.8024150974387,294.7526396586795,NOR
2,150.91271980130153,168.5451449063323,SAI
3,221.03627418548953,222.4966237254266,SAI
4,278.5010917121195,271.70163636363634,NOR
5,303.2960168205128,293.75031810539684,NOR
6,316.3901255927438,299.2975578615021,NOR
7,161.5524249513525,170.54835693733096,SAI
8,127.61890542730572,116.70528860226473,NOR
9,250.681250840859,244.60966213485713,NOR
10,292.1911960711111,283.8552484893869,NOR
11,307.77633907886667,293.83460812190475,NOR
12,143.2041850130657,146.62279216134476,SAI
13,188.2321623509435,188.15210407205385,NOR
14,255.8284328056003,254.17125708579707,NOR
15,198.72107680048643,202.17986803894948,SAI
16,212.600903829842,209.37213437129697,NOR
17,209.40283165897148,208.922618748904,NOR
18,243.09334887822223,235.42963062215537,NOR
19,277.7404170074074,276.07550836,NOR
20,293.45226915495795,292.17535782141414,NOR
21,264.3641535554145,262.33891026077924,NOR
22,221.98069094488835,228.14214290178782,SAI
23,196.14862242112667,201.33706389240984,SAI
24,263.7186105765935,259.8864651382857,NOR
25,285.98000128,281.6236558843797,NOR
