Minisector,PER,NOR,Fastest
0,289.5539568664953,311.01084623845816,NOR
1,297.9581348368254,324.9358980923077,NOR
2,302.2332421853109,333.1825551355311,NOR
3,303.295312647619,337.7315478349206,NOR
4,200.4455977928109,210.73597177281877,NOR
5,101.5643731168753,91.55824515825734,PER
6,203.3904619950357,192.6318342630806,PER
7,255.22438495002226,251.65567320560223,PER
8,279.7882814,272.1111115377778,PER
9,287.21889062603174,280.722180291155,PER
10,153.3325166941004,152.9585977904762,PER
11,172.69594438446137,168.1130577545517,PER
12,242.59756753983842,233.40789535438594,PER
13,236.26018471111112,235.6674798275689,PER
14,154.0106942408528,147.8060919389453,PER
15,218.3720715355434,213.96360732154196,PER
16,261.52708378095235,263.05079464634923,NOR
17,281.2686844309294,281.3982767871759,NOR
18,292.0681429648743,284.6172221155556,PER
19,294.9050001066667,291.01527815111115,PER
20,280.8477772088889,283.24160406904673,NOR
21,154.92553949504662,146.46566532668004,PER
22,208.9902780952381,210.53968518095238,NOR
23,257.46789388649677,263.3209425532757,NOR
24,280.53102670476187,286.7312505904762,NOR
25,,293.92500160000003,NOR
