Minisector,LAT,RAI,Fastest
0,268.9483325333333,275.31552145651483,RAI
1,289.8476504880708,298.27236828070176,RAI
2,295.80637032535907,306.48915673162696,RAI
3,123.06062902156836,126.53954240171126,RAI
4,189.04269965315999,194.60536993068646,RAI
5,248.34461710366816,258.2711177287982,RAI
6,141.78918836993708,137.75555003895445,LAT
7,195.02228636730524,198.98857498021977,RAI
8,256.4082788414836,257.4139570294161,RAI
9,273.2782927775868,284.3891666133333,RAI
10,228.11699985066664,220.80024697071212,LAT
11,171.59666128680075,178.91923159661923,RAI
12,184.42286543448276,190.27050828695258,RAI
13,144.32979110818215,146.93256082705594,RAI
14,170.8500776232011,175.56156206344693,RAI
15,157.26736187102415,159.85292389467787,RAI
16,214.24220200438663,214.43124787427357,RAI
17,222.74144743407732,232.0012431900621,RAI
18,231.3437459069564,230.18922875095484,LAT
19,235.68759028609858,241.21938508985508,RAI
20,140.03984106166254,139.59611748955564,LAT
21,134.1952679730546,131.95393506713123,LAT
22,165.9269562313719,172.71861222077646,RAI
23,147.51576856576304,145.3762530894097,LAT
24,222.80143107340052,230.9911938538022,RAI
25,255.35000000000002,,LAT
