Minisector,RUS,ALB,Fastest
0,298.9960631541935,284.14724986915826,RUS
1,151.975642219457,154.3792050150411,ALB
2,148.89403596463887,146.51734234027052,RUS
3,231.04923167463463,222.66087586462947,RUS
4,287.79384399627924,287.6774719976246,RUS
5,291.6414963309421,283.7309028642856,RUS
6,138.6952646061343,136.83074600848764,RUS
7,137.17001312063664,137.38466629756613,ALB
8,131.5904682374677,126.9017691158403,RUS
9,187.0855327733858,184.54311564633417,RUS
10,129.9139095780752,123.06931546284795,RUS
11,122.09201271988637,126.72536477063473,ALB
12,167.89272902750278,167.67836995156748,RUS
13,270.28145857333334,267.8883282653968,RUS
14,294.452595978836,291.3711069000756,RUS
15,142.36803073101552,146.768109359273,ALB
16,205.40899258637558,197.10844916408232,RUS
17,173.16034407907688,175.45841602352485,ALB
18,270.245056405008,270.710152737018,ALB
19,294.4419982060606,294.66380416,ALB
20,309.99528268900906,309.823396377024,RUS
21,319.2197147119192,319.1390307265306,RUS
22,324.94278298588245,324.0319786178606,RUS
23,328.0118054806349,326.7238157810527,RUS
24,326.6461706768254,325.13028888266564,RUS
25,328.0,,RUS
