Minisector,PER,OCO,Fastest
0,299.3724206222222,303.43880928761905,OCO
1,302.32648689301357,304.1297622677871,OCO
2,296.2320802005013,296.52228338038765,OCO
3,220.3596153846154,225.06250141866664,OCO
4,225.11368426348798,221.88109376201135,PER
5,116.70380076070651,116.18750236391081,PER
6,226.06105764102566,220.7797397889672,PER
7,267.55158730158735,262.49927462028984,PER
8,224.60416689230772,215.64967206165213,PER
9,124.06691856452726,117.85077850180953,PER
10,241.29275357681158,236.38876679419332,PER
11,238.71511603904545,252.39924327619048,OCO
12,136.36434108527132,138.10225413813143,OCO
13,218.5421096980406,219.80738628613213,OCO
14,266.7083332848485,264.49090731188073,PER
15,220.08733784088054,226.67709881295238,OCO
16,167.70404736,167.28026953340805,PER
17,238.95929657538133,239.2331010962963,OCO
18,121.2097287199793,124.53782770699884,OCO
19,147.12568711256364,148.73198720913732,OCO
20,199.18864187068377,200.61869571888343,OCO
21,254.85903677229436,255.12776606605814,OCO
22,272.61349206349206,272.02182496507936,PER
23,281.8461058937212,283.1593522892654,OCO
24,291.20041664,292.80222307608665,OCO
25,296.12916586666665,297.4624992,OCO
