Minisector,RUS,LIN,Fastest
0,303.3596076238095,298.29430525139117,RUS
1,151.48999878799566,147.80362158132345,RUS
2,215.39604823318427,216.7666972521739,LIN
3,287.4127030289947,285.1151402766123,RUS
4,317.6817009454682,318.2293171968298,LIN
5,316.692346486712,318.67460219272726,LIN
6,159.99097724931576,177.53576071161905,LIN
7,124.97367840915223,118.59332730107472,RUS
8,258.4135084497769,255.5092616730688,RUS
9,299.75714679054624,296.9132533034091,RUS
10,298.4210704457143,301.7112557185434,LIN
11,136.60051076852858,134.60972818555894,RUS
12,176.51283707657515,175.62973213052152,RUS
13,246.10367997598073,245.4673121218991,RUS
14,185.01211648326532,176.14473218917396,RUS
15,194.13031202594945,191.70953493214108,RUS
16,195.73702794533466,189.08439592557625,RUS
17,231.13929847521644,230.80488879828286,RUS
18,280.3910049901982,279.15657645850564,RUS
19,297.0346538714286,297.7033317927273,LIN
20,239.95693201904845,232.56441936855126,RUS
21,200.5576733867886,194.85452060434287,RUS
22,189.79439182368594,188.62631246007837,RUS
23,269.99198008599296,272.3687784391111,LIN
24,310.7395209052281,305.1754969939394,RUS
25,318.1666666666667,,RUS
