Minisector,STR,BOT,Fastest
0,292.6477026105862,287.46125376394696,STR
1,302.425037593985,297.34106397645763,STR
2,302.4420765257143,274.67417466758457,STR
3,104.88023948651475,110.41458394764108,BOT
4,221.24768573769697,222.25474951923442,BOT
5,279.4261405369706,265.0722609084338,STR
6,219.77324524472664,201.774370906147,STR
7,152.62373856139698,160.8274064282342,BOT
8,202.30000794056488,200.94067944302134,STR
9,219.61766870898285,210.06752498521064,STR
10,115.77856724312635,118.81597729753082,BOT
11,226.18176918890984,222.56407991999475,STR
12,120.71041031276893,113.67179815638983,STR
13,209.67270993329308,223.8315294126869,BOT
14,267.68884788333065,270.3067740072752,BOT
15,207.60953025103785,201.7241922047346,STR
16,190.95760402777483,186.37139604733045,STR
17,239.15412267474747,245.90452824512482,BOT
18,193.8176900464943,187.31203441461636,STR
19,184.91207604384007,192.70519306229804,BOT
20,261.1965849625397,260.8513623387233,STR
21,286.9619461906418,282.9586251028571,STR
22,166.4207960766776,159.40689595350563,STR
23,208.53666218773336,216.1299978755474,BOT
24,269.7337366621865,270.5170187393922,BOT
25,282.5928576,,STR
