Minisector,RIC,VET,Fastest
0,267.9430051050273,269.7848008054106,VET
1,228.56217187061472,252.71809686888014,VET
2,109.6599324264106,108.88456696958458,RIC
3,178.72484525641963,166.97809884289777,RIC
4,174.2087575861824,174.89345742636283,VET
5,211.56437422821938,212.25738670441132,VET
6,265.8887319723426,270.1659402192306,VET
7,278.1983004491228,284.8556786327273,VET
8,178.417821938093,179.7553721659109,VET
9,139.64605764094458,118.20190638352344,RIC
10,129.6264156025939,127.13966766166023,RIC
11,190.18604460919946,185.2368956080937,RIC
12,206.27860140913813,203.9552094508052,RIC
13,124.48694042041122,128.09722784151975,VET
14,141.93313602242438,142.09859271711974,VET
15,118.12268359998808,124.31222928277558,VET
16,245.1985925953692,246.12916311380926,VET
17,134.4639665585316,132.66778351199022,RIC
18,192.43925169509515,187.00830139286026,RIC
19,120.004130923468,112.56616564488053,RIC
20,123.80248365801368,120.63061334891101,RIC
21,113.17011673512887,120.44874545759554,VET
22,134.64771441641005,147.60864940684687,VET
23,209.8528123828259,215.2961200490211,VET
24,226.4528624404152,235.52326027797983,VET
25,254.82954472727272,,RIC
