Minisector,RUS,VER,Fastest
0,299.55114181925927,298.42018262692227,RUS
1,218.62849319418027,205.75761038547978,RUS
2,206.08529499979798,223.5805561251299,VER
3,268.2867103638247,277.75614666795315,VER
4,234.17723596772487,254.16879564416337,VER
5,122.94633359564955,127.6469961928638,VER
6,207.2913910418328,199.2869395470298,RUS
7,240.4242419668687,244.5249970207215,VER
8,238.69029375542752,233.30870764924526,RUS
9,222.9864385590062,240.05271874632035,VER
10,277.22054400438327,287.79355346398586,VER
11,308.03365338085183,309.2637524016666,VER
12,319.8874998736842,320.96394770079365,VER
13,321.84714592144934,318.50494815555555,RUS
14,314.87452402539685,310.0745060965117,RUS
15,248.87005463219998,252.71617506585716,VER
16,229.65115355115987,230.93574000947908,VER
17,282.0817328279035,277.0665052718972,RUS
18,291.931050885545,291.0797503183669,RUS
19,159.68241253353793,167.6540877692597,VER
20,196.88795730592977,195.98201977564796,RUS
21,189.00188637218506,195.98487270471404,VER
22,129.03885124817162,126.34807457323697,RUS
23,227.36689418184207,230.77427134079372,VER
24,268.9503010488363,289.7116006662434,VER
25,291.93457085299855,305.69386134285713,VER
