Minisector,SAI,TSU,Fastest
0,283.6610410230303,284.85340136054424,TSU
1,295.6253430016072,293.42994628593306,SAI
2,302.7052844566225,299.1359524190476,SAI
3,296.4710566086274,294.93335600907034,SAI
4,158.02471191523955,158.21118520666698,TSU
5,201.32018463661916,195.86415692342857,SAI
6,223.46757703721164,213.14642841074925,SAI
7,260.8373244618182,256.4848872180451,SAI
8,245.29087202502367,231.94763902921216,SAI
9,145.24562160211076,148.83056268167388,TSU
10,217.54214377967534,216.2236095662162,SAI
11,124.8688880066886,124.76670873929538,SAI
12,234.6074109037037,223.74341238471675,SAI
13,166.99841686180207,171.46748379890332,TSU
14,209.38718135181955,215.48377213695395,TSU
15,221.900508672,217.90335873391305,SAI
16,253.84299220899607,247.18206060606062,SAI
17,284.13456852531255,279.8338840571429,SAI
18,144.3907067091724,147.3236106532932,TSU
19,161.38023703843115,161.7192386335964,TSU
20,129.96081299054904,130.6280765934837,TSU
21,145.80415794161289,145.29283560016393,SAI
22,107.56673963202822,105.45760659699087,SAI
23,214.7942949035046,207.5264557445414,SAI
24,262.8776686029712,260.9525324675324,SAI
25,277.2624992,278.01666666666665,TSU
