Minisector,ALO,BEA,Fastest
0,272.75116154434784,272.1816341714286,ALO
1,238.3336470420052,247.54717790970787,BEA
2,125.31371942984447,119.23609090094861,ALO
3,162.26512110752745,168.91591455904762,BEA
4,197.697578270309,192.04575363202477,ALO
5,195.51758939809523,198.36383854314573,BEA
6,263.4139812207792,263.60797779963457,BEA
7,283.7954510008318,285.6932021894737,BEA
8,224.18205504296296,237.42836937981028,BEA
9,147.09605964344274,147.64692599779272,BEA
10,119.72061180758348,119.71177785321426,ALO
11,165.26408088323134,162.10590786771863,ALO
12,245.34108852567783,247.64156770575963,BEA
13,152.11570388385587,158.41620155852286,BEA
14,146.8791778394167,139.88557831075727,ALO
15,100.17471293916296,106.1735896451912,BEA
16,228.58428637391975,212.31263215894597,ALO
17,238.01146974962964,247.12854400507936,BEA
18,127.43418054216596,129.56783278492682,BEA
19,238.87159644728675,240.99493596250915,BEA
20,274.0273261801673,274.0017147821068,ALO
21,199.30885401707272,217.09473031418358,BEA
22,146.16474046285427,144.2625569222667,ALO
23,220.71942222999178,226.17423136665045,BEA
24,232.91224060720498,230.71354288530023,ALO
25,,259.3727290181818,BEA
