Minisector,SAI,HUL,Fastest
0,294.41036852002986,300.3392941499289,HUL
1,246.90254281180702,244.7740726963207,SAI
2,205.09072199389416,202.54547573310825,SAI
3,270.06345752492876,265.1555517520916,SAI
4,231.46506123236225,229.45209698362797,SAI
5,118.19586413983855,118.4962368188346,HUL
6,180.12231663221706,184.92936989523452,HUL
7,259.28655635489037,259.2334231402445,SAI
8,288.77787312217316,288.7467992593055,SAI
9,301.03629529817476,302.7079799465836,HUL
10,302.1754043977246,306.7412856057498,HUL
11,215.03904490150978,227.8931490058118,HUL
12,148.73112827381746,145.53347935485957,SAI
13,259.23578507492124,259.00701897480343,SAI
14,289.28448848384755,293.01803830297314,HUL
15,299.1436507936508,301.9917259378363,HUL
16,297.41139304796803,296.5219633093462,SAI
17,265.2325474576484,264.26803397285533,SAI
18,194.41929278105306,186.51087760739293,SAI
19,189.85117251475248,189.90348290673305,HUL
20,186.24189546033162,183.9302559800876,SAI
21,253.04797269182015,249.76877470543735,SAI
22,128.17092087624613,129.11411973856775,HUL
23,199.23562484172848,196.6514073140182,SAI
24,276.3791844463171,286.1515169692405,HUL
25,288.0,307.8,HUL
