Minisector,SAI,OCO,Fastest
0,298.03828059300486,287.9617561362963,SAI
1,315.3808213883752,297.3317227670588,SAI
2,324.4048950601399,302.2745580958337,SAI
3,317.0890256853666,297.44718467111113,SAI
4,159.87688734078267,166.67657229786496,OCO
5,202.0953285491619,204.85580417168254,OCO
6,232.0854490825143,238.40173980120605,OCO
7,267.0660056778698,266.7879963530159,SAI
8,237.98628201904762,251.49273367563637,OCO
9,155.07624729844943,158.47740526301587,OCO
10,220.48631631313657,227.44858898020703,OCO
11,127.79178629024024,127.14315304963785,SAI
12,224.29406992236594,223.36287057502003,SAI
13,179.1919741312476,172.28187722071428,SAI
14,215.57859061261277,209.32989249514043,SAI
15,232.54483023627853,237.6968749726316,OCO
16,259.4784173017687,260.29310725852525,OCO
17,286.40836697181487,282.11190535687973,SAI
18,157.63388933460317,146.94204595722135,SAI
19,160.54731992681675,161.5883248335504,OCO
20,139.09176426046167,135.5110144390466,SAI
21,227.96162560737812,227.83088949664597,SAI
22,259.455166746936,258.2554793548991,SAI
23,242.80877682978354,245.83418178616643,OCO
24,273.31000099647906,271.1847726659022,SAI
