Minisector,HAM,RUS,Fastest
0,302.53079301065713,288.3949706095238,HAM
1,317.3267264186909,297.3932639111111,HAM
2,325.61163201666665,301.03729949946523,HAM
3,324.89805194805194,298.78508719157895,HAM
4,172.83554283342528,167.86085449335303,HAM
5,212.49898530714978,207.4646037486078,HAM
6,239.87015366875062,226.81533070052907,HAM
7,264.78811708883114,259.97889637434264,HAM
8,245.96807625055416,259.1636785735726,RUS
9,160.70590884705882,161.99068765374636,RUS
10,225.4144917600058,224.92127429863388,HAM
11,127.53918324297747,134.08445134707497,RUS
12,228.46854765874514,225.09357620495751,HAM
13,179.73307084952378,184.21793828819537,RUS
14,215.62397917124426,209.93988323113538,HAM
15,248.99439180654244,231.4300957040955,HAM
16,265.1992866989689,251.59888566044256,HAM
17,285.6380016888889,278.41568418365557,HAM
18,151.7923155745355,157.13629465871182,RUS
19,168.15546318257253,163.97796382421208,HAM
20,139.35467191735586,140.20914973509736,RUS
21,227.79852463007214,218.26850136716192,HAM
22,260.9515335619048,254.7366445315084,HAM
23,249.8939166,244.085664504381,HAM
24,271.9638568393746,266.47785536320845,HAM
25,282.2833333333333,280.2964288,HAM
