Minisector,NOR,RUS,Fastest
0,308.7483833936842,312.8318408972542,RUS
1,237.4555419954978,241.8961835017489,RUS
2,131.60708444437446,133.19505103866814,RUS
3,221.2294575021068,216.27346647365079,NOR
4,263.19557973620965,265.3358233855239,RUS
5,293.0485408498997,290.86743804693725,NOR
6,306.88244428800004,307.35916190349786,RUS
7,288.16145854306876,286.9146955853634,NOR
8,173.43759604512823,169.98928890349885,NOR
9,231.95171803999997,235.77481052419603,RUS
10,274.4481729974026,273.5345652111246,NOR
11,273.2396708888889,262.93958094021787,NOR
12,211.98770985165945,206.52781532853004,NOR
13,126.42347701655558,127.34520783115477,RUS
14,117.87658424792463,122.40404853456256,RUS
15,169.6493225075132,169.93420107928748,RUS
16,118.69253342520058,118.77973800413511,RUS
17,225.2692024204287,224.22806142748098,NOR
18,198.59803118814816,191.51371850848486,NOR
19,158.43176916292776,153.95588607549314,NOR
20,245.67524404994708,239.16273614460988,NOR
21,274.37428763247027,273.12886654814815,NOR
22,291.2295903756254,291.2547898218487,RUS
23,301.0652677942857,303.03029152048396,RUS
24,306.87479513801935,308.7736609289796,RUS
25,,311.0,RUS
