Minisector,PER,STR,Fastest
0,311.07965694117644,292.15023447333334,PER
1,219.32751162546677,225.0488950811944,STR
2,126.06331534359435,131.10912938194005,STR
3,209.99139155868892,211.16302803751327,STR
4,262.50704590683983,259.1392307082251,PER
5,288.0509503013273,285.23981412063495,PER
6,303.8977309390481,298.48961723117606,PER
7,259.2798070222222,267.7533527967347,STR
8,168.86092648034477,164.9986186411865,PER
9,242.7240735401777,233.062776608,PER
10,275.22895116140774,268.5884653810101,PER
11,259.4176806316544,258.965848147559,PER
12,205.32699655777776,207.2143622360494,STR
13,115.67332464644429,119.68624913298933,STR
14,126.44772866109953,125.72332097522144,PER
15,165.84067188402116,158.73063792216342,PER
16,123.24985937101684,122.78249330102881,PER
17,224.26444995873015,223.16979848796538,PER
18,172.36903678033508,176.56164409520323,STR
19,165.79435940515836,157.5216475074979,PER
20,243.9688028976441,241.0013016991007,PER
21,275.95756842013606,268.4677706421164,PER
22,292.27668071849644,286.31571387697477,PER
23,302.22773446761903,297.2058454368628,PER
24,306.8649934659048,302.62987061618537,PER
25,309.43888924444445,305.0,PER
