Minisector,GRO,OCO,Fastest
0,288.6389498408931,284.28419855875853,GRO
1,242.5623397340412,242.36459073361263,GRO
2,270.1707332558378,267.6863896332362,GRO
3,291.29398325692694,277.6388901925926,GRO
4,126.28526380385998,127.29677190742972,OCO
5,211.17885536939448,210.4692868639123,GRO
6,273.6902814741148,268.55980114115914,GRO
7,300.49999411923534,290.28544870247634,GRO
8,314.02135956576814,300.3156249333333,GRO
9,322.30952256969874,305.1857171518294,GRO
10,306.0358821158934,295.7089266934931,GRO
11,104.31795804926095,103.48366287100751,GRO
12,220.02995613880012,199.80791174667323,GRO
13,272.5413937838754,271.9675343955348,GRO
14,272.8046362566167,281.7000181249127,OCO
15,133.4159787772541,133.08672679175942,GRO
16,208.29359344205935,200.37575807373338,GRO
17,258.7470120228923,254.79747888138445,GRO
18,254.6576335591139,254.66823371228068,OCO
19,244.55442349251757,238.262146820142,GRO
20,150.66273758752743,151.23116580463454,OCO
21,191.53936402484308,180.91004453563733,GRO
22,173.69656791798437,171.5363509357512,GRO
23,187.28142648441934,180.9284391626499,GRO
24,250.0438558257522,244.52043254673103,GRO
25,276.08368305708905,272.2499968,GRO
