Minisector,PIA,BEA,Fastest
0,302.128556670295,302.3240396547952,BEA
1,237.52739036991454,225.20477670445212,PIA
2,126.78739370205129,131.7889340802278,BEA
3,236.30344317988107,235.2996773827119,PIA
4,193.67421167389782,196.94599408981458,BEA
5,250.16349373088434,250.15401186478985,PIA
6,234.37433602153754,235.83983075100167,BEA
7,253.90082086095236,258.26833339863947,BEA
8,291.41839935464714,290.7587892248196,PIA
9,204.4622433401803,201.5922338962963,PIA
10,203.98679846373759,207.36353958415495,BEA
11,274.92345687515154,275.4874701076276,BEA
12,218.86932661469734,213.1910940090428,PIA
13,257.04772291746343,252.24721436931156,PIA
14,292.91717932068116,292.3534091151515,PIA
15,307.37201534406927,306.8851617209812,PIA
16,305.35221360949686,312.4372727272727,BEA
17,207.85528911238097,212.1758691910394,BEA
18,262.0441611052237,261.4063554581887,PIA
19,295.00649822877784,294.8469864463228,PIA
20,309.64888414451445,308.9212599206349,PIA
21,307.126313068323,313.2838175767259,BEA
22,149.76641914926316,152.65301461095666,BEA
23,233.62241292272964,232.64478135919157,PIA
24,286.12119175005347,282.2961820989941,PIA
25,297.39000064,289.4086019729447,PIA
