Minisector,VER,SAI,Fastest
0,288.0891044990476,297.81451284172334,SAI
1,298.2032904719577,315.4168167200571,SAI
2,302.35254627555554,318.5827730285714,SAI
3,298.66561967411195,318.21805546666667,SAI
4,207.09061626258205,185.1814264376081,VER
5,225.27703715534602,220.86002526346005,VER
6,267.7148678735238,268.3915048432468,SAI
7,274.49785137870134,262.93359662576444,VER
8,205.4841099372567,192.79878070412835,VER
9,149.6722356831273,136.77957523921,VER
10,186.86607136547713,190.89287760717315,SAI
11,264.4196575289358,261.39058842352944,VER
12,254.13900713904764,244.12654564247566,VER
13,236.07519390014428,230.32840209493332,VER
14,273.58916737414245,269.86637674126035,VER
15,173.69565972297428,163.0646722703839,VER
16,226.86888929885492,225.53138334672144,VER
17,241.88268915878788,228.44620094660894,VER
18,136.65103681480883,132.01861978324285,VER
19,243.4455159429777,246.43495377676192,SAI
20,284.874821932309,286.7661188491228,SAI
21,250.83191977553565,239.63260511349839,VER
22,145.7662650961308,138.39476926102944,VER
23,213.87824736240603,215.87959775533042,SAI
24,269.269555359623,271.8112092082353,SAI
