Minisector,NOR,LAW,Fastest
0,296.0713980080145,291.19891309230854,NOR
1,308.02173225169594,303.08404898812125,NOR
2,307.0063722745092,304.76095111495295,NOR
3,192.78188646875842,181.23491997819377,NOR
4,209.4452247165088,209.65093106431087,LAW
5,205.6538997483833,205.89464272761904,LAW
6,267.20343376950956,265.00703384643396,NOR
7,253.3282616139231,243.6436031085714,NOR
8,217.62219607566624,212.7254748940277,NOR
9,205.4905370864649,204.15370617283952,NOR
10,143.0020658374785,148.11289058504647,LAW
11,201.31039235261,194.47496232066118,NOR
12,186.69949370666788,195.99756523607843,LAW
13,252.92421129701393,253.0218599869905,LAW
14,178.86926472415678,173.93738921277802,NOR
15,236.13111084990112,236.37572932166444,LAW
16,280.63725092566426,280.651766975735,LAW
17,293.9648884742857,290.8759259767196,NOR
18,289.2693897363408,286.1189445005483,NOR
19,272.91590179646494,266.6536369645644,NOR
20,269.87058571914764,259.0519096969697,NOR
21,264.81167873061753,263.9196444774905,NOR
22,227.96962525950184,223.423204860388,NOR
23,207.2581111817492,208.99925036926433,LAW
24,271.7165577156856,270.84045776,NOR
