Minisector,SAI,NOR,Fastest
0,309.56520783999997,291.83077241021596,SAI
1,325.7929809797013,303.08261266766914,SAI
2,336.31851350059657,309.3583958536341,SAI
3,327.82754755555555,300.1413963015139,SAI
4,160.64274431958077,165.48738456296297,NOR
5,205.81914510710132,210.85850204507412,NOR
6,233.56583330133333,234.74349926399998,NOR
7,267.26963753342767,266.5515037900776,SAI
8,256.7953560231579,245.63869138015357,SAI
9,163.59678593764707,163.06869183059416,SAI
10,227.99133450149716,230.75173916647617,NOR
11,132.72578740897458,132.9781961490091,NOR
12,230.11666666666667,226.09118882742857,SAI
13,188.31919483297335,183.31033158853026,SAI
14,217.97968944721694,217.81169723076923,SAI
15,244.82639328523496,246.00334319992862,NOR
16,264.1287628624176,265.11136305454545,NOR
17,287.4134920634921,289.206852645614,NOR
18,122.95926325039308,126.15286789608886,NOR
19,158.701844993458,162.98739784635984,NOR
20,144.81756451337577,146.93252370989012,NOR
21,159.97545754893693,155.98436048885458,SAI
22,113.868299000538,113.96531110916901,NOR
23,228.0657647751307,228.3664988769524,NOR
24,271.6903971283159,277.6743227664443,NOR
