Minisector,OCO,STR,Fastest
0,282.9825493127075,279.94943395551434,OCO
1,296.8206221256288,297.30638055293076,STR
2,242.3905591619051,231.15254993033787,OCO
3,115.88446031822549,118.46966886260788,STR
4,137.26473043677808,133.32308515255613,OCO
5,253.14878305273206,248.46314213486554,OCO
6,272.19514932987016,253.34525286809185,OCO
7,123.43808883670899,125.86870707930528,STR
8,247.64973953174092,245.26851903269426,OCO
9,266.0412464397187,239.25313985743585,OCO
10,203.9271792105149,201.92201910795907,OCO
11,141.28026134980448,146.7851115270273,STR
12,206.66704779059583,209.45148842942547,STR
13,267.92785591618804,259.5115352416031,OCO
14,121.18968753197696,117.45827900689572,OCO
15,194.77406246597107,201.4917862578243,STR
16,263.68611773859254,263.080870649697,OCO
17,291.78575502614717,293.9784937888199,STR
18,304.91328750193776,311.21005542077194,STR
19,310.9573214780952,324.5280877809524,STR
20,311.80527204716554,332.7889880952381,STR
21,170.35259530900152,146.40331786897983,OCO
22,144.85805581391293,172.32471276566682,STR
23,204.57344269502343,201.06885435375293,OCO
24,238.77208922980822,241.7846329388,STR
