Minisector,BOT,NOR,Fastest
0,297.42065977777776,300.5589014857143,NOR
1,299.57904550982323,302.1952898782609,NOR
2,260.8453045253068,249.74532489288532,BOT
3,155.81127886611688,151.89964844391824,BOT
4,176.00123826730922,162.50644966297696,BOT
5,217.29885057471265,211.86931667342466,BOT
6,239.30940094454783,226.39494588534615,BOT
7,217.20607553366176,210.5496266570634,BOT
8,268.20561445437926,261.92674686914904,BOT
9,264.78623188405794,258.62425599263656,BOT
10,274.1897671620264,274.73591318002406,NOR
11,278.5908472149417,273.76608178093653,BOT
12,275.3190379959962,273.9594204289855,BOT
13,265.3284503735921,260.9132999443223,BOT
14,181.93648679604843,175.13458495496246,BOT
15,238.9346711922035,240.26952678339111,NOR
16,210.89694410666667,213.21593502592702,NOR
17,175.01756731512694,168.6116705076423,BOT
18,257.91289121111714,254.97546948914533,BOT
19,284.1012803029411,284.06275706330644,BOT
20,260.2932536126984,257.56715768161774,BOT
21,189.47614945396356,185.3862354597633,BOT
22,255.50686835954676,252.9131226797229,BOT
23,282.1098275558046,283.29647177573787,NOR
24,293.77155798260867,295.41408713650793,NOR
25,,299.1847221333333,NOR
