Minisector,LEC,MAG,Fastest
0,290.48054608911116,292.38270393564335,MAG
1,299.8024726189569,301.8495505676191,MAG
2,297.33171841664563,303.9126334667342,MAG
3,185.77186530000267,189.37337990231532,MAG
4,208.70338687512765,206.41183046875614,LEC
5,204.14827123189121,202.45614101482153,LEC
6,264.1331845638095,263.93540349213487,LEC
7,263.6907192367847,253.82441685435117,LEC
8,216.9128623056555,205.2304541926811,LEC
9,212.96102454567597,190.1452103231183,LEC
10,141.430639933722,148.0131788844218,MAG
11,199.09319659532466,187.74426852448013,LEC
12,192.58900524614032,192.52752404735617,LEC
13,254.0196806373394,255.39906145365535,MAG
14,180.60212389879763,179.5176499529112,LEC
15,234.74798105846153,237.95735786444854,MAG
16,278.2377867154051,281.670267928658,MAG
17,289.69955029671956,289.9578593546756,MAG
18,285.5642610241441,277.25745303272726,LEC
19,276.4688979420451,262.04972403571765,LEC
20,269.3064341862434,260.20672036048086,LEC
21,266.9167590282244,257.45636344752296,LEC
22,246.22720590489334,224.34319994896126,LEC
23,209.59375618306964,207.06494799494286,LEC
24,267.93481297850343,269.87995844577074,MAG
