Minisector,VER,RIC,Fastest
0,291.0999117810278,297.20181457414964,RIC
1,300.9358928533333,309.007957437594,RIC
2,305.2087718736842,313.5962718877193,RIC
3,307.33450781860483,304.01491098947366,VER
4,189.34345356039913,166.89390523708423,VER
5,224.9692073142857,209.94135909135804,VER
6,253.47087792338354,230.1674447856945,VER
7,272.65062333242633,266.28024884662256,VER
8,268.06008160360386,254.54353478121794,VER
9,177.2413692414566,162.07316170912847,VER
10,239.77348738337233,222.54479115847877,VER
11,143.64731474657376,128.7868883852127,VER
12,232.44103934688073,234.37993478095237,RIC
13,202.10716335238095,179.65585491061805,VER
14,227.4622713903916,226.06157313580246,VER
15,259.0855071536232,248.60207374661783,VER
16,270.9980438784581,268.4633437222926,VER
17,286.71239104961137,287.33372972698413,RIC
18,170.87389597605443,145.7430299341752,VER
19,176.1535261188551,171.25630791981112,VER
20,151.11058453004568,147.22314203594053,VER
21,178.31489907070707,156.05049366882238,VER
22,120.49017599724503,119.69869450919406,VER
23,224.9999714016117,237.26225808377825,RIC
24,272.12803221768706,275.39084062645503,RIC
25,284.6749994666667,,VER
