Minisector,LEC,HUL,Fastest
0,300.07112115980993,300.3392941499289,HUL
1,255.04870790189997,244.7740726963207,LEC
2,208.32465320966776,202.54547573310825,LEC
3,270.94604991929276,265.1555517520916,LEC
4,232.55351916430124,226.9882315703994,LEC
5,117.50850640531468,118.22430299241951,HUL
6,181.65978151725108,186.18215361327194,HUL
7,258.5522659646258,259.2334231402445,HUL
8,287.43139449982186,288.7467992593055,HUL
9,300.7141383495033,302.8647428062701,HUL
10,305.98150926725873,306.6672776819403,HUL
11,237.82983907967798,221.8057978058118,LEC
12,147.17883323004764,145.80808600616575,LEC
13,259.4670791994365,259.00701897480343,LEC
14,290.34489456477866,293.3808547437471,HUL
15,300.5968219600119,301.9341834836536,HUL
16,298.17888300025936,296.0849929202808,LEC
17,269.3034949669038,262.1373126139411,LEC
18,195.98640837560603,186.72703935284747,LEC
19,191.63607377133033,183.67566471396736,LEC
20,194.5747568974024,191.10885735261812,LEC
21,253.778025667695,245.27253978086927,LEC
22,129.4347116553054,125.83929006781945,LEC
23,202.25711502390854,204.3089791800618,HUL
24,279.0749965258373,288.2272745449981,HUL
25,293.1562512,,LEC
