Minisector,GAS,SAI,Fastest
0,299.93812476190476,326.92249338546367,SAI
1,303.02412277894734,337.05416658823526,SAI
2,297.23583386666667,332.8845964467665,SAI
3,216.6844099539097,221.44940692161174,SAI
4,222.11892112315311,218.59790009642694,GAS
5,118.17569491927527,116.85626872417144,GAS
6,226.71482001785932,228.61067510660345,SAI
7,268.9226184126984,267.14464238268397,GAS
8,215.69559979144591,213.8534120929655,GAS
9,126.86685072253968,120.98029872917954,GAS
10,244.85954975176136,244.0822400021447,GAS
11,245.61974721987576,247.81141448612834,SAI
12,131.2153954287649,126.66379046491588,GAS
13,223.09427592533336,221.3206647776688,GAS
14,268.36244053817455,265.90340892121213,GAS
15,214.18571653333333,211.52470476190476,GAS
16,169.08973728621612,170.1454212504777,SAI
17,244.84097247407408,242.29062573333331,GAS
18,123.04204705853392,120.30091307721422,GAS
19,148.03192661718376,142.05096610949238,GAS
20,208.41468107936507,207.9821408,GAS
21,259.5421604923796,262.3908368156242,SAI
22,275.5416664888889,279.09206323809525,SAI
23,283.8624998603175,288.41892360314415,SAI
24,293.08559026981084,297.1291664,SAI
25,297.3666666666667,,GAS
