Minisector,HAM,RUS,Fastest
0,282.62105295584416,272.67529010766486,HAM
1,123.00481534471025,126.14737439396015,RUS
2,151.82236711172396,154.24439088696144,RUS
3,217.56951280926717,213.75161158767506,HAM
4,160.22041236038092,161.76925205918175,RUS
5,243.05374182178525,237.26009508398474,HAM
6,206.14343392964838,216.35754374407958,RUS
7,133.2486547343942,133.58999688338832,RUS
8,229.67523151795854,227.43218473052613,HAM
9,269.29922949915965,267.92465180921886,HAM
10,278.1442634843367,271.89872256962406,HAM
11,145.9693363808964,145.7459097028895,HAM
12,215.71751364487108,213.56366081228683,HAM
13,266.47980985333334,262.07068249200046,HAM
14,264.52478522054156,249.48224095999998,HAM
15,99.82928825915236,100.00053924350522,RUS
16,218.46207468310936,215.4239209820326,HAM
17,268.4163551497587,263.028985968013,HAM
18,291.10500154607297,286.71536685950736,HAM
19,300.15447750316883,296.9707473884069,HAM
20,306.36180610960423,303.78654017001713,HAM
21,286.7538095358396,288.586129668456,RUS
22,146.1422740929185,148.6561975980122,RUS
23,230.5671102926407,228.65326656187133,HAM
24,274.62042971109406,270.98149962107874,HAM
25,,281.3333333333333,RUS
