Minisector,BOT,GAS,Fastest
0,257.5410717688013,250.74836864378693,BOT
1,140.9123370776124,131.520893735455,BOT
2,261.8569467945739,261.61106273103445,BOT
3,306.62270940661745,304.8666430335608,BOT
4,305.83177106666665,303.20821431466663,BOT
5,312.03033335466665,310.534647752381,BOT
6,317.6786232115942,314.52430555555554,BOT
7,316.9902469660447,308.8819443953813,BOT
8,216.1672957965288,200.38095343633157,BOT
9,198.25240702385707,190.09074000807848,BOT
10,195.4543499205199,182.09456480237012,BOT
11,163.98497008029975,163.28392789640355,BOT
12,247.44748414623658,245.85460654037175,BOT
13,281.8740744691358,267.17342699764976,BOT
14,279.8603395160494,272.2580088459031,BOT
15,285.2511230769231,268.92585167891156,BOT
16,194.0387066105263,180.14012034301072,BOT
17,198.45441348854828,192.00438743709952,BOT
18,238.48591043932413,238.82908597135997,GAS
19,286.61967210735446,285.4346108586667,BOT
20,306.89308018835976,305.0309025777778,BOT
21,313.3071428266667,312.18566455238096,BOT
22,310.67552092063494,305.916842254623,BOT
23,271.58330819679003,260.26488100063494,BOT
24,115.09628635079514,112.24645754563787,BOT
25,226.5749952,,BOT
