Minisector,RUS,MAG,Fastest
0,274.4175734002771,276.88447689981996,MAG
1,299.99561152,303.5005251485002,MAG
2,314.0067768420024,317.6035925688889,MAG
3,321.5780991866667,323.76922613333335,MAG
4,325.6182603870145,327.9306349298492,MAG
5,326.4418807791746,330.0035417866667,MAG
6,209.09241370020496,195.08007950812856,RUS
7,104.5253684922172,106.31305626348475,MAG
8,193.70562654507142,184.40776040615765,RUS
9,261.03495857296576,264.897864605042,MAG
10,290.18512670102535,291.95037017948783,MAG
11,171.3028988520118,167.1697337492327,RUS
12,97.01942422779399,94.05314442427112,RUS
13,114.16241650560228,116.16506660717616,MAG
14,217.5892235826087,223.3601313385941,MAG
15,192.07765713199834,196.27679248539025,MAG
16,228.09489792581817,231.74703587784128,MAG
17,185.03395352808857,186.16934714912443,MAG
18,236.544711545034,240.6166207873325,MAG
19,276.5178429028571,278.2107125222222,MAG
20,248.8452067204637,256.45836335638245,MAG
21,149.4824952083117,147.87806037167445,RUS
22,99.49522754150372,96.37563862085321,RUS
23,128.4106183752034,122.60075904602854,RUS
24,226.64131081142858,224.58117077439636,RUS
25,,258.5540195552833,MAG
