Minisector,STR,RIC,Fastest
0,244.19843092994748,249.88069260606062,RIC
1,206.69857179428573,200.95307160430107,STR
2,201.410870133398,196.16573960357144,STR
3,254.28635418417502,250.92043715109187,STR
4,270.36901152506124,265.6865144295873,STR
5,277.20364908985505,280.3267290104309,RIC
6,160.8770145602822,152.39138947174538,STR
7,173.6986421539718,175.3604849328409,RIC
8,262.0277201477887,262.5639641955473,RIC
9,288.40406277253106,288.6086914545029,RIC
10,297.2933248076927,299.5653950337662,RIC
11,292.8728653174641,296.55047804341245,RIC
12,115.70346154946799,105.16549455213128,STR
13,187.1577028600391,187.99618086031745,RIC
14,263.33582115978726,268.0017981706293,RIC
15,290.74552284734693,291.79419139381787,RIC
16,292.0970896322255,293.37140875522425,RIC
17,182.00886018862914,177.42799674077128,STR
18,213.1048698794942,219.09007467007774,RIC
19,260.51493094603177,264.12091603386244,RIC
20,155.34596618715898,146.29703266023716,STR
21,138.84517249021522,136.3821437889699,STR
22,215.3927455874032,210.1790242179253,STR
23,222.81295433560388,212.48529516323973,STR
24,150.32776431891355,156.03876981578037,RIC
