Minisector,BOT,VET,Fastest
0,288.13192754157564,301.5726013252525,VET
1,304.07687498666667,323.1574311543802,VET
2,299.73269465874426,316.07687461333336,VET
3,191.88316115669244,186.7591587001806,BOT
4,229.63937714871795,225.63326669933022,BOT
5,214.97499328779276,207.05533636277957,BOT
6,199.2441629984639,194.8558294406114,BOT
7,224.23439076751444,220.00161431774535,BOT
8,257.8135166984127,260.83590390299895,VET
9,261.7654235986127,262.62948876825396,VET
10,183.11416100707632,181.50474624966085,BOT
11,244.89167801555072,246.60083389561905,VET
12,123.11551981601697,121.14691450882562,BOT
13,230.83262873191913,229.84812239550524,BOT
14,271.0852182663038,277.0984853887446,VET
15,278.9130435060869,290.0097383581944,VET
16,216.15018019074668,217.90608228007056,VET
17,200.37307044632618,188.2958106036711,BOT
18,273.4976095688989,272.1271627815735,BOT
19,294.8672889004329,298.49437503999997,VET
20,304.69949403428575,311.0641537185185,VET
21,304.01270837333334,313.49073967792754,VET
22,251.63309525942856,281.1093040761905,VET
23,122.74989307123809,117.17201298184204,BOT
24,248.83412266201094,238.4439595738977,BOT
25,275.90000274285717,275.15062773606917,BOT
