Minisector,NOR,HUL,Fastest
0,275.6839808463768,277.1268766043408,HUL
1,297.05856418191627,295.04437982545403,NOR
2,295.83228912,292.96572778013984,NOR
3,180.04254265957593,184.835494931784,HUL
4,123.71381549654528,122.08257948385729,NOR
5,239.1981187425496,236.04791167030163,NOR
6,281.4182104178679,279.0041092133568,NOR
7,294.43672309732426,292.5231724372169,NOR
8,188.36991823392736,186.93773848743584,NOR
9,144.08989882123035,147.92487160104466,HUL
10,251.84226154909092,249.21294998726978,NOR
11,290.4040596136616,287.2332123985185,NOR
12,304.3977388728716,299.2727283965016,NOR
13,281.8928624162319,282.026088296871,HUL
14,296.4589686865561,297.250397137974,HUL
15,298.95057402037264,303.7707630422668,HUL
16,252.37223665942233,262.9693379959192,HUL
17,230.247060491436,223.62815687838608,NOR
18,277.34804779035153,271.4327746494462,NOR
19,299.26109939250796,295.06416381612075,NOR
20,299.43748373803123,299.8735920921212,HUL
21,238.7218594370236,248.51937731628118,HUL
22,263.16494753862435,258.7302090111111,NOR
23,142.82933903774946,147.2472860154279,HUL
24,217.38731456809214,203.9535150166796,NOR
25,255.89441029343018,253.24500032,NOR
