Minisector,VET,MAG,Fastest
0,237.7417690810333,233.2628568333287,VET
1,286.99526535757576,282.03905366353723,VET
2,299.90884353741495,295.61452559330615,VET
3,305.6155410847494,299.98874455411254,VET
4,280.8042660713023,271.57600875428585,VET
5,169.65067222593183,170.96770004540244,MAG
6,264.1051455366588,261.0806544571429,VET
7,284.7706440242424,276.94280299220776,VET
8,219.66172942562525,217.12250832792077,VET
9,219.9605235755102,217.8140135550739,VET
10,193.54259204582397,183.08631023865544,VET
11,226.80531630344828,223.5739531310944,VET
12,208.52713475655963,203.6779850652436,VET
13,221.47033987699706,210.5519447720635,VET
14,230.82067919012346,221.71371273969655,VET
15,182.5308869573014,180.03409848163264,VET
16,249.15288467692307,248.50412524080852,VET
17,294.17611242102913,291.1666662095238,VET
18,310.61719296,305.46979152,VET
19,308.042326235889,298.80532993741497,VET
20,130.0148198429421,129.61953811120955,VET
21,166.96654493440224,165.42244085703828,VET
22,157.3028860147174,149.80172680696865,VET
23,209.46427622465808,204.8400238169516,VET
24,145.83221766991144,144.49560506137138,VET
25,,183.05416373333333,MAG
