Minisector,RUS,LEC,Fastest
0,293.44521872442687,294.94742322010325,LEC
1,160.75869554821344,158.45397307390633,RUS
2,163.48386164952504,164.54794772653125,LEC
3,244.9741257148718,232.91925184922454,RUS
4,268.9190251951561,254.93503272899932,RUS
5,236.98360663042737,238.73964217858918,LEC
6,212.18425217460705,215.1973698305467,LEC
7,143.17310478523342,143.9978018929558,LEC
8,228.9632963095994,226.10323745876576,RUS
9,304.7880515487831,297.09194533595024,RUS
10,324.70435258164747,320.04117642875815,RUS
11,330.6063155957895,317.68788039788365,RUS
12,326.69613441791944,310.9306987045926,RUS
13,321.8130494036105,306.4355555555556,RUS
14,127.91400335779471,126.43863258703215,RUS
15,113.6127404831656,117.46955531693318,LEC
16,98.07087887840433,105.07364659071219,LEC
17,241.57525292698412,236.9015856793269,RUS
18,307.3662773672879,302.64358454179893,RUS
19,328.1924433347369,320.5713869894345,RUS
20,328.2773629281937,316.38975450285716,RUS
21,324.7221601647118,312.5483751466667,RUS
22,124.64764200905826,123.83124831681874,RUS
23,202.7469480399186,200.5172710941082,RUS
24,276.2651328522191,276.0574111938206,RUS
25,285.0,288.0,LEC
