Minisector,NOR,LEC,Fastest
0,275.2636091471266,276.2683723843736,LEC
1,297.55233591111113,302.41166677930215,LEC
2,295.54012461491055,299.91267344900433,LEC
3,176.37358061225933,182.58698061960473,LEC
4,118.08752642575189,113.60897876617766,NOR
5,233.0601204846453,232.2271242014839,NOR
6,281.89779487022633,293.81876541175177,LEC
7,287.2026902837234,311.04265846857146,LEC
8,179.125840352363,174.71161406687588,NOR
9,139.52704108315714,133.22838933065665,NOR
10,247.91948777025638,247.0316070288413,NOR
11,288.34946636726846,287.82916744129716,NOR
12,302.7768819266476,305.91569214693874,LEC
13,287.4860486952997,280.94992092594345,NOR
14,298.38758942765486,294.9153463652174,NOR
15,300.26784739758733,296.15326732050977,NOR
16,257.48781830750124,259.10274203670997,LEC
17,236.04695958646076,223.8806248026503,NOR
18,276.28043789831105,282.7315746732275,LEC
19,296.60784168601873,314.05990992413035,LEC
20,303.3272513137148,324.17422385777775,LEC
21,237.00578567692588,218.03854623612122,NOR
22,263.87846069544975,254.77102320312304,NOR
23,138.96896801416582,128.14400220746597,NOR
24,209.44373073845682,200.8578608122996,NOR
25,,253.6772706909091,LEC
