Minisector,PER,SAI,Fastest
0,270.49537064231816,268.12108772483367,PER
1,290.7292636146283,290.93812821900286,SAI
2,294.1062950078908,296.0400505643094,SAI
3,125.75323065582411,123.40817279793922,PER
4,184.2234404250295,194.4870035315044,SAI
5,249.4282592671073,255.93540161056808,SAI
6,132.56965733188275,134.1076092593613,SAI
7,193.4600530537228,197.67557161716533,SAI
8,255.09247048516423,256.1004734699074,SAI
9,280.48139863070264,279.828187453929,PER
10,229.92039516883452,229.83945065082548,PER
11,167.33259544441415,175.06438180902114,SAI
12,185.2486652118895,190.5334506420038,SAI
13,140.83330507093822,141.28625748933447,SAI
14,175.7099963287423,179.1035509390077,SAI
15,159.1078457488799,157.27583482900593,PER
16,214.03771861499843,207.96574035714235,PER
17,230.77504487499561,230.27243193768714,PER
18,235.74347916937126,236.69834304429514,SAI
19,233.3728325608753,245.90885279581835,SAI
20,145.06881552020474,136.1938750136223,PER
21,128.2192191571726,136.9089001880077,SAI
22,163.84713447671623,158.79669089597834,PER
23,150.23936327564877,146.83768184587825,PER
24,224.93095213711175,218.04493140561917,PER
25,,254.6140341872226,SAI
