Minisector,VER,HAM,Fastest
0,290.5731894698465,306.4955321392073,HAM
1,299.1656731405128,320.6289904253968,HAM
2,285.14835733,290.9675051275782,HAM
3,120.03367067642982,107.64542079061006,VER
4,226.07762385771255,231.76214398837604,HAM
5,271.93627951424804,270.68620132041406,VER
6,215.92979171366665,218.507135225679,HAM
7,168.08735284338624,163.38350365768858,VER
8,224.28568172106964,211.1434568153288,VER
9,228.75443168571428,220.32442526488379,VER
10,122.03639544550305,115.32231580899003,VER
11,232.49295125157823,227.47976739779048,VER
12,119.7096837652386,118.37546119119985,VER
13,225.5112848802791,217.45614206043084,VER
14,272.90121042957395,273.7596154663204,HAM
15,231.8699941227385,233.64263899161716,HAM
16,203.21207259521813,198.51280583432964,VER
17,253.3880427938624,250.97198552046186,VER
18,210.29102837223974,206.53804122122452,VER
19,186.54693192787303,178.06876314399597,VER
20,264.43213869619063,263.52639487026755,VER
21,289.46476785124713,288.5446694501587,VER
22,170.9167953243501,174.1703540971094,HAM
23,212.87595208492553,209.44725541227513,VER
24,271.00882607512466,272.067556377547,HAM
25,,285.7750016,HAM
